Genus	captive_mean	wild_mean	captive_bonobo_mean	captive_chimp_mean	captive_gorilla_mean	captive_orangutan_mean	industrialized_human_mean	non_industrialized_human_mean	wild_bonobo_mean	wild_chimp_mean	wild_gorilla_mean	captive_vs_wild_allspecies	captive_vs_wild_bonobo	captive_vs_wild_chimp	captive_vs_wild_gorilla
Saccharofermentans	0.00594742045519248	0	0.00223639342810327	0.00580310880829016	0.0139402911423637	0	0	0	0	0	0	0	0	0	0
Lactococcus	2.58808548963989e-06	0.000258485896396315	0	7.97130330809087e-06	0	0	0.000347321072709674	0.00148123471919002	0.000573298444440594	6.64275275674239e-05	0.000279108844523352	1	1	1	1
Dialister	0.00491218625933652	0.0262220462568176	0.00239139099242726	0.00115185332801913	0.00595949818747746	0.00921681944998007	0.0118957467403063	0.00456193524208372	0.0575594526371728	0.0193326750969238	0.019103386898076	1	0	1	1
Subdoligranulum	0.0103186968471943	0.00729337250619256	0.00769452194322661	0.0175209246711837	0.00643398052724478	0.00691601144969021	0.0246341741160394	0.0207239014175833	0.0084319637710041	0.00908396439484522	0.00550404905974854	1.00537445035798e-09	1	1	0
Rhodococcus	0	0.000408079983676801	0	0	0	0	0	0	0.00207080596808013	7.54858267811636e-07	6.17096633936012e-05	1	1	1	1
Methanobrevibacter	0.0054686246396091	0.0100835929645319	0.00181568575350959	0.00186129932243922	0.00449809258099414	0.0119886590093844	0.0045479132266697	0.00443701183203155	0.0140176523934127	0.0143528751041704	0.00533930124279865	1	1	1	1
Catenibacterium	0.00611046984103979	0	0.0110712545945707	0.00692706257473097	0.00744937273434683	0.0018750679372441	0.00551372202926607	0.00633019636770313	0	0	0	0	0	0	0
Oribacterium	0.00320016770793973	0.0173883303925497	0.00188211328107701	0.00324033479473894	0.0023676668754389	0.00448838726040799	2.84689403860388e-06	0.000725001933338489	0.0482827040047135	0.0187770994118144	0.00423475488242328	1	1	1	1
Stenotrophomonas	0	0.00806354418523025	0	0	0	0	0	0	0.00241738437277973	1.50971653562327e-06	0.0163236213268597	5.56548584995653e-10	1	1	1
Lachnospiraceae_ND3007_group	0.00409435124461031	0.00870553011810004	0.0035095877064789	0.00583897967317656	0.00371045189698039	0.00271748976412189	0.00300418493423675	0.00245162192227384	0.0135411070869507	0.0071749278355496	0.00795771585927026	0.00763402252172796	1	0.80921039268057	0
Chishuiella	0	0.011062033443529	0	0	0	0	0	0	0.000810127020985322	0	0.0233777718395594	0	1	NA	1
Holdemanella	0.00496653605461896	0.00553048812074939	0.00356494397945175	0.00522120366679952	0.00449334775759646	0.0057021993550491	0.008026106018334	0.0108780033669833	0.0195253608747639	0.00389582352017585	0.00126986032102612	2.25597318603832e-13	0	1	3.59322159582121e-07
Erysipelotrichaceae_UCG-003	0.00238362673595834	0.00332622188767651	0.00477171073025995	0.00163810282981267	0.00367723813319668	0.00101905866154571	0.00899689688549792	0.0042533446755858	0.00423692099745265	0.00548555503218716	0.0013496865828472	0.203988975699742	4.73773416249657e-05	1	0
Romboutsia	0.000143638744675014	0	0	0.000203268234356317	0	0.000271748976412189	0.00770156009793316	0.00316100842935581	0	0	0	0.12087870443545	NA	4.0152938751703e-09	NA
Prevotellaceae_UCG-001	0.00393647802974228	0.00606463944653359	0.00951020769673619	0.00552411319250697	0.00190267418246693	0.00179354324432045	0.000270454933667369	0.00385998465226677	0.0151772459724701	0.00938515284370207	1.69843110257618e-06	0	0	1	0
Chryseobacterium	0	0.00139762108399153	0	0	0	0	0	0	4.33223005874504e-06	0	0.00299206945903837	3.88313381103345e-05	1	NA	1
Collinsella	0.000155285129378394	0.00420581397684516	2.21425091891413e-05	0.000195296931048226	8.06619977604434e-05	0.00023551577955723	0.0126722370893355	0.00275203297978025	0.00763627751688126	0.00685788736306871	0.000871861299322439	1	0	1	1
Erysipelotrichaceae_UCG-004	0.00760508921130683	0.0111344517826012	0.00295602497675037	3.58708648864089e-05	0.0152878209873029	0.0107748469147433	0	0	0.0112305843889534	0.0229250455934394	0.00225381807311859	1	1	0.890520012878889	8.24918027220178e-07
XBB1006	0	0.000391957652715476	0	0	0	0	0	0	4.62104539599471e-05	0.000234760921289419	0.000645403818978949	1	1	1	1
Senegalimassilia	0.000119051932523435	0.0155390197411335	0	0.000251096054204862	0	0.000131345338599225	0.00132380572795081	0.000792668780450081	0.0131670912252124	0.00959349372561808	0.0209280680459437	0	0	0.000417713854433899	0
Tetragenococcus	0	0.000314253303492044	0	0	0	0	0	0	0	0.000897526480428035	0	1	NA	1	NA
Megamonas	0	0	0	0	0	0	0.00138572567329044	0.00177941500151693	0	0	0	NA	NA	NA	NA
Nocardioides	0	0.00299716775576096	0	0	0	0	0	0	0.000551637294146868	0	0.00620380267400993	0	1	NA	1
Phascolarctobacterium	0.0179328443577148	0.00419339185298971	0.00895664496700766	0.0388361897170187	0.00820379965457686	0.00713793978042683	0.0110310026760804	0.0136605236075501	0.00219355248641124	0.00839326907979758	0.00182751186637197	7.25972171267131e-09	8.32611467673772e-05	1.97437487496899e-05	0
Anaerovibrio	0.00159814278985263	0.00390556860025394	0.000653204021079669	0.00276604224790753	0.0011482472622369	0.00108699590564876	2.91806638956898e-05	0.00191995383782562	0.0123699608944033	0.00372145126031136	0.000725230080800029	2.50631548492919e-06	1	1	2.12738271443413e-10
Megasphaera	0.00207176243445673	7.92901522688084e-06	0	0.00594260661618175	0	0.00049820645675568	0.00100495359562717	0.000400052348857546	0	2.03811732309142e-05	1.69843110257618e-06	4.89343341181225e-05	NA	0	1
Prevotella_1	0.0125328039835812	0.00208559530517722	0.0199393295248218	0.015874850538063	0.00685152498624001	0.0111281205840791	0	1.04102841710142e-05	0.00073359095661416	0.00557311859125331	0	0	0	2.21594493492461e-05	0
Solobacterium	0.0024522110014338	0.00824168272732751	0.00190425579026615	0.00252690314866481	0.00254797016455048	0.00250009058299214	0.000153020554574959	0.00152436303932708	0.0137736034334367	0.00690166914260179	0.0070779285481358	1	0	1	1
Acetitomaculum	0	0.00186199707577918	0	0	0	0	0	0	8.08682944299074e-05	0.00238912641762383	0.00216493351208377	1.26072884487627e-06	1	1	1
Catenisphaera	0	0.00576782997654069	0	0	0	0	0	0	0.0100276685093085	0.00756292498520478	0.00275145838617341	0	0	1	8.89564518047337e-07
Ruminococcaceae_UCG-005	0.047915814755193	0.00743662338129154	0.0685974934679598	0.037281785571941	0.0600077815103722	0.0399969201782673	0.00605819051414906	0.0141498069635878	0.0035841983352684	0.013561028781236	0.00435364505960361	6.54232223951112e-12	0	0	0
CAG-873	0.00259584974610881	0	0.000265710110269696	0.000920685532084496	0.00347795555049441	0.00461067429979347	0.000698912486477253	0.000747309685133519	0	0	0	0	8.49960457571797e-09	0	0
Lysinibacillus	0	0.00467891188538238	0	0	0	0	7.11723509650971e-06	8.17950899151116e-06	0.000613732591655547	3.77429133905818e-06	0.00977900014493279	7.89590615113411e-13	1	1	1
Alloprevotella	0.00524475524475524	0.00580218904252384	0.00529205969620477	0.00825029892387405	0.00309362485528289	0.00386336461465995	0.00389312759779081	0.0192813334681713	0.0136421924549881	0.0082324842687537	0.000905829921373963	1	1	1	0.00118181383372296
Peptoclostridium	0	0	0	0	0	0	0.000673290440129818	1.04102841710142e-05	0	0	0	NA	NA	NA	NA
Klebsiella	4.52914960686981e-05	0.000457504178591025	0	5.97847748106815e-05	9.48964679534628e-05	0	0.00141277116665718	0.00297882845636306	0.000255601573465957	4.45366378008865e-05	0.000846384832783797	1	1	1	1
Ruminiclostridium_5	0.000288571532094848	0.00710228323922473	0	0.000243124750896772	0.000204027406099945	0.000538968803217508	0.00440485680122986	0.000377744597062515	0.0103872436041844	0.0122755051511528	0.00193451302583427	1	1	1	1
Anaeroplasma	0.00308758598914039	3.70020710587773e-06	0.0186661352464461	0.000398565165404544	0.002685570043083	0.000153991086633574	8.96771622160223e-05	0.000537616818260233	7.22038343124173e-06	6.79372441030472e-06	0	0	0	0	0
Lachnospira	0.00442174405904976	0.000828582091209048	0.00315530755945264	0.0030530091669988	0.00289434227258061	0.00795318670966339	0.0111100039856517	0.00568698952427976	0.00232640754154609	0.00100169692138604	0.000111530309069169	0	1	0.000495489958504791	0
Corynebacterium	9.05829921373963e-06	0.00181045847680446	0	2.78995615783181e-05	0	0	0	5.2051420855071e-06	2.74374570387186e-05	6.03886614249309e-06	0.00386279847095909	0	1	1	1
Fusicatenibacter	0.00344732987220034	0.000749556239447802	0.00649882644701298	0.00416102032682344	0.00230598417126915	0.00247744483495779	0.0111192563912771	0.00200769766155274	0.00121302441644861	0.00142668212616399	6.0011232291025e-05	0	0	6.99351687671879e-12	0
Comamonas	0	0.00652822253679856	0	0	0	0	0	0	0.000815903327730316	0	0.0136638782202254	7.2888237667712e-09	1	NA	1
Candidatus_Methanogranum	0.00120216570993773	0.00559471314408712	0.000885700367565653	0.000801115982463133	0.00239613581582494	0.000647668393782383	3.55861754825485e-06	0.000225308293129807	0.0014368563028171	0.0150443252774859	0.000137572919308671	1	1	0.550891725781383	0
Paraprevotella	0	0	0	0	0	0	0.00161347719637875	0.000319000850668935	0	0	0	NA	NA	NA	NA
Ruminococcaceae_UCG-008	0.00947886310580611	0.00964723282654592	0.0106062619015987	0.0103826225587884	0.00495359562717076	0.0123102286314722	0.000223481182030405	0.00441396048851002	0.00654599961876375	0.0193183327898354	0.00360973223667524	0.0129014019445659	0.00243453053230169	1	0
Veillonella	0	2.82801543092083e-05	0	0	0	0	0.00103769287707112	0.00275798171359226	4.33223005874504e-06	2.94394724446538e-05	3.67993405558172e-05	1	1	1	1
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	0	0.00261023181268917	0	0	0	0	0	0	0.000300367950739656	0	0.00547347729990217	0	1	NA	1
Lachnospiraceae_UCG-009	0	0.00127683575203538	0	0	0	0	0	0	0	0	0.00273504021884851	0	NA	NA	1
Pseudomonas	0	0.00154827237330227	0	0	0	0	1.42344701930194e-06	0.000490770539490669	0.000451996002795732	3.77429133905818e-06	0.00313643610275735	4.47404602255119e-09	1	1	1
Fibrobacter	0.000640551158685874	0.00274766807662177	0.000143926309729419	0.000402550817058589	0.000365351401620832	0.00137686148048842	0	0.000199282582702272	0.00178054655414421	0.00427702694542073	0.00197980452190297	1	1	1	1
Lachnospiraceae_UCG-002	0	0.00190454945749678	0	0	0	0	0	0	0.00200871067057145	0.000360822252013962	0.00302150893148302	3.38395977905748e-13	1	1	1
Barnesiella	1.42344701930194e-05	1.05720203025078e-06	0	4.38421681944998e-05	0	0	0.00453083186243808	0.000216385192411795	0	0	2.26457480343491e-06	1	NA	1	1
Libanicoccus	0	0.0032186515810985	0	0	0	0	0.00010960542048625	1.56154262565213e-05	0	0.00465068178798749	0.00340648664806696	0	NA	0	0.000287549356498218
Dorea	0.0033735694357456	0.00667649512154123	0.00345423143350604	0.00279394180948585	0.0019785913568297	0.00533080908728577	0.0101399248419974	0.00799881620197141	0.0147339144297919	0.0101686957256905	0.000898470053262799	0	1	1	3.94301734463198e-06
Parabacteroides	0.00138591977970216	0.00145470999362507	0.000553562729728533	0.000629732961339179	0.000303668697451081	0.00361879053588898	0.00921397255594147	0.00371275349041956	0.00287082445226171	0.0024653671026728	0.000141535925214682	1	1	1	1
Ruminiclostridium_6	0.012131650732687	0.000626656503431149	0.00534741596917763	0.0047190115583898	0.0107802387595134	0.0246204572629443	0.00317784547059158	0.00370234320624855	1.44407668624835e-06	0.00176863292148266	1.52858799231856e-05	0	0	1.30846444790222e-11	0
Sphingopyxis	0	0.00260679590609086	0	0	0	0	0	0	0.000503982763500673	0	0.00538629116996993	0.000103588880683958	1	NA	1
Lachnospiraceae_NK4A136_group	0.00962638397871558	0.000815367065830913	0.00788273327133431	0.00956556396970905	0.0096984190248439	0.0103400485524838	0.0072581563514206	0.00986894939412146	0.00194517129637652	0.00129156249622571	1.52858799231856e-05	0	4.16034685990496e-06	0	0
Dietzia	0	0.000761185461780561	0	0	0	0	0	0	8.95327545473975e-05	0	0.00159539294901989	8.8246492531141e-06	1	NA	1
Devosia	0	0.00186146847476406	0	0	0	0	0	0	0.000238272653230977	0	0.00389393637450632	1.92096116791163e-10	1	NA	1
Roseburia	0.0024780918563302	0.00115578611957166	0.00149461937026704	0.00376644081307294	0.00187895006547856	0.00198829667741585	0.00938834481580596	0.00863607431158278	0.00211124011529508	0.00119569549621363	0.00075127269103953	0.000316035900574718	1	9.135086052936e-06	4.73718781091037e-06
Coprococcus_2	0.000745368621016289	0.000528601015125389	0.00049820645675568	0.000486249501793543	0.000792385507411414	0.00109605420486249	0.00770938905653932	0.00390088219722432	0.00124768225691857	0.000849970409555902	5.66143700858727e-06	7.90491425206596e-07	1	1	0
Elusimicrobium	0.00152308831065308	9.06550740940043e-05	0.00348744519728976	0.00111598246313272	0.00192165347605762	0.000801659480415957	2.91806638956898e-05	0.00207610810039083	0	0.00015701051970482	7.64293996159281e-05	1.12798659301916e-13	0	4.51420234526267e-10	0
Sphaerochaeta	1.29404274481995e-05	0.0114925789703487	0	1.99282582702272e-05	2.37241169883657e-05	0	0	0	0.0272381744560163	0.0140584803797239	0.00339516377404978	1	0	0.290822234805205	1
Novosphingobium	0	0.000796337429286399	0	0	0	0	0	0	0.000387012551914557	7.54858267811636e-07	0.00155349831515635	1.86717285650673e-05	1	1	1
Weissella	0.00119957762444809	0.000504285368429621	0	0.00369469908330012	0	0	7.90013095712578e-05	0.000558437386602262	5.77630674499339e-06	0	0.00107793760643502	0.0602893314439994	1	0	1
Olsenella	3.88212823445984e-05	0.00581513976739441	0	0.000111598246313272	9.48964679534628e-06	0	0.000260490804532255	0.000188872298531258	0.0086861212677838	0.0109718649226421	0.000822040653646871	1	0	1	1
Ruminococcaceae_NK4A214_group	0.0145709213066726	0.0116482519693031	0.00889021743944024	0.010701474691112	0.0227514281918427	0.0134832783796514	0.00470947446336047	0.00470619203702492	0.00826300679871304	0.0148541009939974	0.0105710351824341	1	1	1	2.02146477334963e-09
Intestinibacter	0.0013949780789159	0.000432131329865006	0.000664275275674239	0.000884814667198087	0	0.00360520308706837	0.0047294027216307	0.00204487724787779	8.37564478024041e-05	0.000693714748118893	0.000372522555165042	0.499878615421234	2.1431745267364e-11	1	1
Rummeliibacillus	5.95259662617176e-05	0.000520407699390946	0	0.00018333997608609	0	0	0	0	0.0011321561220187	0	0.000670880285517591	0.0568962572579288	1	1	1
Cellvibrio	0	0.00132996015405548	0	0	0	0	0	0	0.00016606881891856	0	0.00278372857712236	0.00591185348485546	1	NA	1
Acidaminococcus	3.23510686204987e-05	4.22880812100312e-06	0	0	6.16827041697508e-05	5.43497952824378e-05	0.000535927802767181	5.0564237402069e-05	0	1.20777322849862e-05	0	1	NA	1	0.0519390073738464
Mitsuokella	6.47021372409973e-05	0	0	0	0.000147089525327867	8.60538425305265e-05	0.000539486420315436	6.39488884790872e-05	0	0	0	1	NA	NA	3.05259246609069e-05
Sphingobacterium	0	0.00578633101207008	0	0	0	0	0	0	0.00157837581806944	0	0.0117757889778615	1.15241878262395e-08	1	NA	1
CAG-352	0.000402447293639003	6.34321218150467e-06	0	0	0.00147564007667635	0	0.00118288447303991	0.000208205683420284	0	1.81165984274793e-05	0	1	NA	1	0
Sutterella	0.00994342445119647	0.00368699208049959	0.0150790487578052	0.0132762056596253	0.0103911632409042	0.00362784883510272	0.00776490349029209	0.00422657537343177	0.0079510862344834	0.00566143700858727	0.000534439653610638	2.2198776150617e-10	0	1	0
Erysipelothrix	0	0.000833339500345176	0	0	0	0	0	0	0	0	0.00178505108880757	1.09418083482637e-08	NA	NA	1
Erysipelatoclostridium	0	0.000103077197949451	0	0	0	0	0.00128821955246826	0.000321975217574939	2.16611502937252e-05	0.000283071850429363	0	1	1	1	NA
Lachnoclostridium	0.000543497952824378	0.00262344683806731	0.000132855055134848	0.000223196492626544	0.000128110231737175	0.00147197362223269	0.00776917383135	0.00199356941874922	0.00752652768872638	0.00348518062248632	5.49159389832965e-05	1	1	1	0.446678793592502
Prevotellaceae_NK3B31_group	0.00197082710036078	0.000811931159232598	0.00116248173242992	0.00212036667995217	0.00145191595968798	0.00262690677198449	0.000141632978420543	0.00859740754180473	0.00189751676573033	0.00132704083481286	0	0	1	0.00277777644005273	0
Tyzzerella_4	0	0	0	0	0	0	0.00107114388202471	0	0	0	0	NA	NA	NA	NA
Gemmobacter	0	0.00200604085240085	0	0	0	0	0	0	0.000320585024347133	0	0.0041713467879271	2.78522449548291e-09	1	NA	1
Solibacillus	0	0.00319407163389517	0	0	0	0	0	8.32822733681136e-05	0.000228164116427239	6.03886614249309e-06	0.00674786677053516	3.40588783842577e-08	1	1	1
Tissierella	0	0.000200868385747648	0	0	0	0	0	0	0	0	0.000430269212652632	1	NA	NA	1
Parasutterella	0.000590083491637896	0	0.00409636419999114	7.97130330809087e-05	0.000313158344246427	0	0.00239921995103342	0.000154667079112211	0	0	0	0.00217669388913322	2.25597318603832e-13	4.20645177783285e-05	0.0519390073738464
Butyrivibrio	0.000274337061901829	3.17160609075234e-06	0	4.38421681944998e-05	0.000934730209341608	1.81165984274793e-05	0.000426322382280931	0.00170431223714032	0	9.05829921373963e-06	0	1	NA	1	0
Desulfovibrio	0.00784836924733298	0.00327151168261104	0.00987555909835703	0.00439218812275807	0.00894399210461387	0.00990072104061741	0.00162913511359107	0.00130351629655628	0.00563478722974105	0.00282015048854427	0.00268352114207036	0.00517258315173752	1	1	0
Turicibacter	9.05829921373963e-06	0	0	7.97130330809087e-06	0	2.26457480343491e-05	0.00140850082559927	0.000499693640208682	0	0	0	1	NA	1	NA
Lachnospiraceae_AC2044_group	0.00410340954382405	0.000457239878083462	0.00399672290864001	0.0016580310880829	0.0015895158382205	0.00932551904054495	0	0.000922797332587759	0.000138631361879841	0.00052613621266471	0.000530476647704627	0.0478321990098172	0	2.09398303141484e-08	1
Butyricicoccus	0.000450326875197342	0.00259754538832616	0.00034320889243169	0.000342766042247908	0.000308413520848754	0.000751838834740389	0.0031906564937653	0.00246500657335086	0.0048506535891082	0.00454273705569042	0.000255330809087286	1	1	1	1
Sphingorhabdus	0	0.000226769835488792	0	0	0	0	0	0	0	0	0.000485751295336788	1	NA	NA	1
