"Phylum"	"Class"	"Order"	"Family"	"Genus"	"industrialized_humanvs.captive"	"non_industrialized_humanvs.captive"	"non_industrialized_humanvs.industrialized_human"	"wildvs.captive"	"wildvs.industrialized_human"	"wildvs.non_industrialized_human"	"wild_mean"	"captive_mean"	"nih_mean"	"ih_mean"
"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Lachnospiraceae_UCG-003"	0.86682	0.01251	0.01312	0.85569	0.33123	3e-05	4.06247871161261e-05	0.000130198742958575	0.000741887125553564	0.000104490983902833
"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Lachnospiraceae_AC2044_group"	0	0	0.00016	0	0	0.05124	0.000610450264696279	0.00548452460783314	0.00120762013077566	0
"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Lachnospiraceae_FCS020_group"	1	1	1	0.02338	0.00359	0.00421	0.000363091890638272	0	0	0
"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Lachnospiraceae_UCG-009"	1	1	1	0	0	0	0.00158295964544637	0	0	0
"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Butyrivibrio"	0.40886	0.13028	0.00215	0.00088	0.00604	0	4.91997882295981e-06	0.000379864867700046	0.00213295029428238	0.000491903198615486
"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Anaerocolumna"	1	1	1	0.00029	0	1e-05	0.000236699808052759	0	0	0
"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Coprococcus_1"	1e-05	0.18883	0.00082	0.37968	0	0.00086	0.000757417813707456	0.000933883387054093	0.00130009055642163	0.00179905159491483
"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"GCA-900066575"	0.01103	0	0.00539	0.00459	1	0.00051	0.000678782386863385	0.000488019137800458	0.000145796227590793	0.000143364678198245
"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Anaerosporobacter"	0.0124	0.00546	0.92532	0.04064	0.42462	0.2197	2.10411510711e-05	8.42915827420723e-05	4.00874869314793e-06	0.000155658894154839
"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Anaerobium"	1	1	1	0.18799	0.08474	0.08998	0.000125447984228775	0	0	0
"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Lachnospiraceae_ND3007_group"	0.00354	0	0.00706	0.08708	0.06406	0	0.0114045205994067	0.00541406465633942	0.00282043924538338	0.00326872653462838
"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Coprococcus_2"	0	0.00071	0.14465	0.1478	0	0	0.000722684185029508	0.000909559465713848	0.00446335572791013	0.00842495762453637
"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Anaerostipes"	0	0.00024	3e-05	0.00749	0	0.08328	0.00875673984072222	0.00259353009863249	0.0114253852174537	0.0134038836716411
"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Lachnospira"	0.00159	0.30858	0	0	0	0	0.00112457818124716	0.00559559340695217	0.00643885155721069	0.0120595624993129
"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Lachnospiraceae_NK4B4_group"	0.01187	0.00682	1	0	0.01225	0.03101	0	6.36741890360199e-05	8.74864010934273e-05	3.29602682649845e-05
"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Lachnoclostridium_12"	1	0.05458	0.02048	0.987	0.92293	0.01352	6.87894163355603e-07	0	0.000140504447451468	0
"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Lachnospiraceae_UCG-010"	0	0	0.01077	0.91675	0	0	3.53882301341456e-05	4.44051048108491e-06	0.000615673977948074	0.000752503843996894
"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Tyzzerella"	0.08115	1	0.03706	8e-04	0.13499	2e-05	0.000267410003488339	0	0	0.000142763892283504
"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptococcaceae"	"Dehalobacterium"	0	0	0.00834	0	0.23192	0.06879	2.45536525492413e-05	0.000949141360017749	0.000101170683671785	4.36925443042399e-06
"Firmicutes"	"Clostridia"	"Clostridiales"	"Christensenellaceae"	"Christensenellaceae_R-7_group"	0	0	0.00069	0.00131	0.00029	0	0.0180711145920792	0.0218542612477437	0.00661420323903351	0.0202525174328301
"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"1_Clostridium_sensu_stricto_6"	0.00655	0.04412	0	0.01935	0.452	0	0.000891043129735668	4.46303878502585e-05	0.000311997108539792	0
"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"1_Sarcina"	0	0.0145	0	0.05861	0	0	0.0131499288858394	0.0137798185211034	0.0216841457717894	0
"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"1_Clostridium_sensu_stricto_1"	0.05495	0.00427	0.3656	5e-05	0	0	0.00489145924514386	0.00860202097766405	0.0118614713905637	0.00779091790248489
"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Brevundimonas"	1	1	1	0	0	0	0.0129675027734697	0	0	0
"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Caulobacter"	1	1	1	0.18799	0.08474	0.08998	9.21937969406246e-05	0	0	0
"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiaceae"	"Ochrobactrum"	1	1	1	0.00549	0.00037	0.00047	5.05352965797541e-05	0	0	0
"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiaceae"	"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"	1	1	1	0	0	0	0.00286971525499871	0	0	0
"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiaceae"	"Aquamicrobium"	1	1	1	0.02829	0.00476	0.00552	0.000132597098562936	0	0	0
"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Pseudorhodobacter"	1	1	1	4e-05	0	0	0.000232919170967598	0	0	0
"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Gemmobacter"	1	1	1	0	0	0	0.00220669128165621	0	0	0
"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Ketogulonicigenium"	1	1	1	0.00152	5e-05	7e-05	0.000232433623675717	0	0	0
"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingomonas"	1	1	1	0.01618	0.00203	0.00243	0.000143710098672211	0	0	0
"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Novosphingobium"	1	1	1	1e-05	0	0	0.000883002351819305	0	0	0
"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingorhabdus"	1	1	1	0.02338	0.00359	0.00421	0.000251833471859094	0	0	0
"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingopyxis"	1	1	1	0	0	0	0.00287805254109356	0	0	0
"Proteobacteria"	"Deltaproteobacteria"	"Desulfovibrionales"	"Desulfovibrionaceae"	"Bilophila"	0	0.0106	0	0.65559	0	0.00433	8.61011659342316e-05	3.24359997039961e-05	0.000299931033728195	0.00152173103164482
"Proteobacteria"	"Deltaproteobacteria"	"Desulfovibrionales"	"Desulfovibrionaceae"	"Desulfovibrio"	0	0	0.98614	0.00053	0	0	0.00436425162244991	0.0106311938364542	0.00152777629699171	0.00185381242420526
"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"Saccharospirillaceae"	"Oceanobacter"	1	1	1	0.00319	0.00016	2e-04	0.00041387506968161	0	0	0
"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas"	1	0.53044	0.52322	0	0	0	0.00169808134884297	0	0.000639827937397788	1.48856041322437e-06
"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Stenotrophomonas"	1	1	1	0	0	0	0.00881138616573071	0	0	0
"Proteobacteria"	"Gammaproteobacteria"	"Cellvibrionales"	"Cellvibrionaceae"	"Cellvibrio"	1	1	1	4e-05	0	0	0.00146394492542139	0	0	0
"Proteobacteria"	"Gammaproteobacteria"	"Cellvibrionales"	"Spongiibacteraceae"	"BD1-7_clade"	1	1	1	0.04103	0.00834	0.00954	0.000209352968897618	0	0	0
"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"Perlucidibaca"	1	1	1	0.00319	0.00016	2e-04	0.000215472736519251	0	0	0
"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"Acinetobacter"	0.76408	1	0.73942	0	0	0	0.0808391985824054	2.83934567758542e-05	0.00055484160118112	3.79674758898763e-05
"Proteobacteria"	"Gammaproteobacteria"	"Enterobacteriales"	"Enterobacteriaceae"	"Hafnia-Obesumbacterium"	0.01134	1	0.00267	1	0.00021	1	0	0	0	0.000223822963304741
"Proteobacteria"	"Gammaproteobacteria"	"Enterobacteriales"	"Enterobacteriaceae"	"Morganella"	1	1	1	0.08662	0.02616	0.02899	4.23889728796159e-05	0	0	0
"Proteobacteria"	"Gammaproteobacteria"	"Enterobacteriales"	"Enterobacteriaceae"	"Klebsiella"	0.01139	5e-05	0.10845	0.00407	1	0.04598	0.000526109882948426	6.22724232834674e-05	0.00329398083166074	0.00157146234604353
"Proteobacteria"	"Gammaproteobacteria"	"Enterobacteriales"	"Enterobacteriaceae"	"Citrobacter"	0.04655	0.07473	1	0.30339	0.17418	0.292	5.60556258054227e-05	0	0.000346400984872333	0.000267859541427741
"Proteobacteria"	"Gammaproteobacteria"	"Enterobacteriales"	"Enterobacteriaceae"	"Escherichia/Shigella"	0	0	0.00559	0.01443	0	0.00078	0.00215274521463172	0.000784613321552093	0.0144424605608786	0.0218268431891386
"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Neisseriaceae"	"Vitreoscilla"	1	1	1	0	0	0	0.000453058294569254	0	0	0
"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Burkholderiaceae"	"Sutterella"	0.00538	0	0.00907	0	0.08448	0.20618	0.00495006690241032	0.0134921816128103	0.00466416411628135	0.00831948785325339
"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Burkholderiaceae"	"Parasutterella"	0	0.67599	0	0.00808	0	0.01655	0	0.000778059521457936	0.000163130132768452	0.00254671802093169
"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Burkholderiaceae"	"Oxalobacter"	0.06295	0.00071	0.10501	0	2e-05	0.04021	0.000430596675149345	5.43636212996051e-05	0.00028037899164178	0.000143530735105715
"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Burkholderiaceae"	"Xylophilus"	1	1	1	0.00457	0.00028	0.00035	0.000235131406168469	0	0	0
"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Burkholderiaceae"	"Delftia"	0.66263	0.05509	0.13449	1	0.45012	0.0049	0	0	7.27594953871258e-06	3.13145863343145e-06
"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Burkholderiaceae"	"Aquabacterium"	1	1	1	0.01949	0.00271	0.0032	0.000230654835151095	0	0	0
"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Burkholderiaceae"	"Alicycliphilus"	1	1	1	0.0495	0.01109	0.01249	8.7792617978486e-05	0	0	0
"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Burkholderiaceae"	"Ottowia"	1	1	1	6e-05	0	0	0.000496675031908609	0	0	0
"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Burkholderiaceae"	"Comamonas"	1	1	1	0	0	0	0.00713325162925728	0	0	0
"Proteobacteria"	"Gammaproteobacteria"	"Aeromonadales"	"Succinivibrionaceae"	"Succinivibrio"	0	0.0013	0	0	0	0	0.00100892112078319	0.0112870781712695	0.0331739940112219	0.000934371141470112
"Proteobacteria"	"Gammaproteobacteria"	"Pasteurellales"	"Pasteurellaceae"	"Haemophilus"	0	0	0.98439	0.87148	0	0	4.73599052135199e-05	4.48515069680909e-05	0.00217190594726223	0.0013629148046847
"Proteobacteria"	"Gammaproteobacteria"	"Aeromonadales"	"Succinivibrionaceae"	"Succinivibrionaceae_UCG-001"	0	0	1	0	1	1	0	0.01281519505217	0	0
"Proteobacteria"	"Gammaproteobacteria"	"Aeromonadales"	"Succinivibrionaceae"	"Ruminobacter"	0	0	1e-05	0	1	0	3.47496485112229e-06	0.0105388869651069	0.0071784684659037	0
"Epsilonbacteraeota"	"Campylobacteria"	"Campylobacterales"	"Arcobacteraceae"	"Arcobacter"	1	1	1	2e-04	0	0	0.000513225950132	0	0	0
"Epsilonbacteraeota"	"Campylobacteria"	"Campylobacterales"	"Helicobacteraceae"	"Helicobacter"	1	0.07244	0.03038	1	1	0.00822	0	0	5.40234314219536e-05	0
"Epsilonbacteraeota"	"Campylobacteria"	"Campylobacterales"	"Campylobacteraceae"	"Campylobacter"	0.00123	0	0	0.00022	1	0	0	0.000460534301126252	0.00087455111586258	0
"Planctomycetes"	"Planctomycetacia"	"Pirellulales"	"Pirellulaceae"	"Pirellula"	1	1	1	0.35313	0.21478	0.22327	8.17254357067944e-05	0	0	0
"Verrucomicrobia"	"Verrucomicrobiae"	"Opitutales"	"Puniceicoccaceae"	"Cerasicoccus"	0	0	1	0.00028	0	0	0.00673757637912484	0.0126278159588297	2.46999776053536e-06	0
"Verrucomicrobia"	"Verrucomicrobiae"	"Verrucomicrobiales"	"Verrucomicrobiaceae"	"Verrucomicrobium"	1	1	1	0.02338	0.00359	0.00421	0.000192047965776549	0	0	0
"Verrucomicrobia"	"Verrucomicrobiae"	"Verrucomicrobiales"	"Akkermansiaceae"	"Akkermansia"	0	0.78084	0	0.81055	0	0.23778	0.000946225174469002	0.000138098899372835	0.000385873705382461	0.021251341007984
"Chloroflexi"	"Anaerolineae"	"Anaerolineales"	"Anaerolineaceae"	"Flexilinea"	1	1	1	0	0	0	0.052902102346396	1.11844521202925e-05	0	0
"Elusimicrobia"	"Elusimicrobia"	"Elusimicrobiales"	"Elusimicrobiaceae"	"Elusimicrobium"	0	0	0	0	0.67599	0	0.000121508609937767	0.00205768305999749	0.00237138209091029	3.16359009486908e-05
"Actinobacteria"	"Actinobacteria"	"Corynebacteriales"	"Dietziaceae"	"Dietzia"	1	1	1	4e-05	0	0	0.000847185457564802	0	0	0
"Actinobacteria"	"Actinobacteria"	"Corynebacteriales"	"Nocardiaceae"	"Rhodococcus"	1	1	1	0.05949	0.01463	0.01643	0.00044286578453622	0	0	0
"Actinobacteria"	"Actinobacteria"	"Corynebacteriales"	"Mycobacteriaceae"	"Mycobacterium"	1	1	1	0.00061	1e-05	2e-05	0.000149683332230731	0	0	0
"Actinobacteria"	"Actinobacteria"	"Corynebacteriales"	"Corynebacteriaceae"	"Corynebacterium"	1	1	0.8802	0	0	0	0.00206271266602712	1.06426002000809e-05	5.85479547398407e-06	0
"Actinobacteria"	"Actinobacteria"	"Corynebacteriales"	"Corynebacteriaceae"	"Corynebacterium_1"	1	1	1	0	0	0	0.0006058166541325	0	0	0
"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	"Micrococcus"	1	1	1	0.00024	0	0	0.000150080002193483	0	0	0
"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	"Arthrobacter"	1	1	1	0.00014	0	0	0.000223717777178334	0	0	0
"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Micrococcales"	"Incertae_Sedis_Timonella"	1	1	1	0	0	0	0.00212804584454894	0	0	0
"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Leucobacter"	1	1	1	1e-05	0	0	0.000667616414528483	0	0	0
"Actinobacteria"	"Actinobacteria"	"Bifidobacteriales"	"Bifidobacteriaceae"	"Bifidobacterium"	0	0.21659	0	0	0.00058	0	0.0330036780157788	0.000363529485143207	0.00259045993294867	0.0305068121947165
"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Nocardioidaceae"	"Aeromicrobium"	1	1	1	0.00788	0.00066	8e-04	0.000162915519845496	0	0	0
"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Nocardioidaceae"	"Nocardioides"	1	1	1	0	0	0	0.00329795419822808	0	0	0
"Actinobacteria"	"Coriobacteriia"	"Coriobacteriales"	"Atopobiaceae"	"Olsenella"	0.41761	1	0.4996	0	0	0	0.0079267178917487	4.55923897338314e-05	0.000212343539180694	0.000288949085924952
"Actinobacteria"	"Coriobacteriia"	"Coriobacteriales"	"Atopobiaceae"	"Coriobacteriaceae_UCG-003"	0.02171	0.23592	0.29049	0	0	0	0.065426222373464	0.000396737519629269	0.000131479138272833	3.00973649756964e-06
"Actinobacteria"	"Coriobacteriia"	"Coriobacteriales"	"Atopobiaceae"	"Libanicoccus"	0.78948	1	0.80666	0	0	0	0.00420102598665417	0	1.80715426557251e-05	0.000118265802595639
"Actinobacteria"	"Coriobacteriia"	"Coriobacteriales"	"Coriobacteriaceae"	"Collinsella"	0	1e-05	1e-05	0	1	0	0.00575611327374854	0.000199993189085957	0.00314040093334834	0.0136473919109303
"Actinobacteria"	"Coriobacteriia"	"Coriobacteriales"	"Eggerthellaceae"	"Slackia"	0.01655	0.15306	0.37704	0	0	0	0.0015222714903096	4.30917239230765e-05	0.000224412400830533	0.000476210526053544
"Actinobacteria"	"Coriobacteriia"	"Coriobacteriales"	"Eggerthellaceae"	"Enterorhabdus"	0	0.32377	3e-05	0	0	0	0	0.000321637446558731	0.000492422708599724	0.00031400505174299
"Actinobacteria"	"Coriobacteriia"	"Coriobacteriales"	"Eggerthellaceae"	"Senegalimassilia"	0.03692	0.09007	0.85919	0	0	0	0.0204892094704535	0.000145096313871263	0.000887696889820607	0.001466981743301
"Actinobacteria"	"Coriobacteriia"	"Coriobacteriales"	"Coriobacteriales"	"Incertae_Sedis_Phoenicibacter"	0.85569	0.85828	1	0	0	0	0.00194143212052162	4.1412469857688e-05	0	0
"Actinobacteria"	"Coriobacteriia"	"Coriobacteriales"	"Eggerthellaceae"	"DNF00809"	1	1	1	0	0	0	0.00488882346407691	0	0	0
"Actinobacteria"	"Coriobacteriia"	"Coriobacteriales"	"Eggerthellaceae"	"Denitrobacterium"	1	1	1	0	0	0	0.000595506338738805	0	0	0
"Actinobacteria"	"Coriobacteriia"	"Coriobacteriales"	"Eggerthellaceae"	"Eggerthella"	0	0.30406	0	1	0	0.14275	8.28567230497461e-06	0	7.44962589338973e-05	0.00057816622269423
"Actinobacteria"	"Coriobacteriia"	"Coriobacteriales"	"Eggerthellaceae"	"Adlercreutzia"	0	0.86803	0	1	0	0.71988	0	0	1.40381635527004e-05	0.000397495780956046
"Spirochaetes"	"Spirochaetia"	"Spirochaetales"	"Spirochaetaceae"	"Sphaerochaeta"	0.88708	0.8886	1	0	0	0	0.0156443643604424	2.01821996549065e-05	0	0
"Spirochaetes"	"Spirochaetia"	"Spirochaetales"	"Spirochaetaceae"	"Treponema_2"	0	0	0	0	0	0.88547	0.0150311086011372	0.112585778366826	0.056061493127378	7.24577226262133e-05
"Lentisphaerae"	"Oligosphaeria"	"Oligosphaerales"	"Oligosphaeraceae"	"Z20"	0	0	0.25305	0	0	0	0.00109588891927298	0.00326503573066523	0.000393286930878344	0
"Fibrobacteres"	"Fibrobacteria"	"Fibrobacterales"	"Fibrobacteraceae"	"Fibrobacter"	0	0.00023	0.1619	0	0	0	0.00370372654019156	0.000906428741023556	0.000249421354962819	0
"Firmicutes"	"Clostridia"	"Clostridiales"	"Family"	"XIII_Family_XIII_UCG-001"	0.11136	0.89169	0.15338	0.00282	0	1e-05	0.00139983671008488	0.000243715924159314	0.000297574840326429	0.000219677904921762
"Firmicutes"	"Clostridia"	"Clostridiales"	"Family"	"XIII_Mogibacterium"	0.37007	0.23425	0.00556	0	0	0	0.0123917385757934	0.000372262238353942	0.00125870406638255	0.000370278588129365
"Firmicutes"	"Clostridia"	"Clostridiales"	"Family"	"XIII_Family_XIII_AD3011_group"	0.00175	0.60127	0	0	0	0	0.00689356430427036	0.000580203689144489	0.000478451369756882	0.00135259808734783
"Firmicutes"	"Clostridia"	"Clostridiales"	"Family"	"XI_Tissierella"	1	1	1	0.0495	0.01109	0.01249	0.000221331868648215	0	0	0
"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptostreptococcaceae"	"Intestinibacter"	2e-05	0.07589	0.00716	6e-05	0	0	0.000550096966507296	0.0018259182738419	0.00240086682239457	0.00528294524077194
"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptostreptococcaceae"	"Peptoclostridium"	0.06439	0.6482	0.17211	1	0.00614	0.43872	0	0	1.12244963408142e-05	0.00071330200239984
"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptostreptococcaceae"	"Terrisporobacter"	0.00059	0.02614	0.23371	0	0	0	7.97423307813371e-06	0.00356230079706791	0.00127038147998838	0.00146023551585895
"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptostreptococcaceae"	"Romboutsia"	0	0	0	0.17061	0	0	0	0.000179551678826439	0.0035339797670661	0.0083371518236515
"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptostreptococcaceae"	"Paraclostridium"	0.80168	1	0.73048	0.27435	0.49161	0.15531	5.29034867614171e-05	0	0	7.79277453944702e-07
"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptostreptococcaceae"	"Paeniclostridium"	0.57844	0.00049	0.00122	1	0.48663	0	1.05177944117262e-05	0	0.000222744277985614	3.68432742845859e-05
"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Lactococcus"	0.02943	0.00147	0.32244	3e-05	0.05458	0.69966	0.000314437056300651	2.857114286e-06	0.00185960176469657	0.000368468497881387
"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"	0	0.00079	0	0.42462	0	0.00034	0.00201156853423054	0.015383163346234	0.00419004587468334	0.00846783438881044
"Firmicutes"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	"Enterococcus"	0.26809	0.05196	0.44776	0.93511	0.21347	0.01537	0.00019139364945409	0.000208034779284414	0.00104792026593471	0.00158490159952931
